county_code,county,Election_Year,total_reg,total_number_voting,total_percent_turnout,dem_reg,dem_voting,dem_percent_turnout,rep_reg,rep_voting,rep_percent_turnout,other_reg,other_voting,other_percent_turnout
4,BALLARD,2012,"6,103","3,911",64,"4,738","3,105",65.5,"1,133",719,63.4,232,87,37.5
5,BARREN,2012,"28,405","16,836",59.2,"16,641","9,775",58.7,"10,184","6,413",62.9,"1,580",648,41
6,BATH,2012,"8,748","4,355",49.7,"7,290","3,638",49.9,"1,150",623,54.1,308,94,30.5
7,BELL,2012,"19,753","9,768",49.4,"9,121","4,111",45,"9,829","5,373",54.6,803,284,35.3
8,BOONE,2012,"87,325","52,676",60.3,"30,558","17,078",55.8,"45,740","30,249",66.1,"11,027","5,349",48.5
9,BOURBON,2012,"13,496","8,037",59.5,"9,280","5,683",61.2,"3,439","2,044",59.4,777,310,39.8
10,BOYD,2012,"36,498","19,346",53,"21,347","10,948",51.2,"12,491","7,361",58.9,"2,660","1,037",38.9
11,BOYLE,2012,"20,099","12,369",61.5,"11,841","7,480",63.1,"6,888","4,304",62.4,"1,370",585,42.7
12,BRACKEN,2012,"6,149","3,349",54.4,"4,740","2,576",54.3,"1,178",675,57.3,231,98,42.4
13,BREATHITT,2012,"11,343","5,199",45.8,"10,201","4,748",46.5,890,375,42.1,252,76,30.1
14,BRECKINRIDGE,2012,"14,219","8,087",56.8,"7,175","4,038",56.2,"6,253","3,748",59.9,791,301,38
15,BULLITT,2012,"53,128","32,016",60.2,"28,259","16,890",59.7,"20,649","13,281",64.3,"4,220","1,845",43.7
16,BUTLER,2012,"8,875","5,122",57.7,"2,069","1,078",52.1,"6,543","3,935",60.1,263,109,41.4
17,CALDWELL,2012,"9,819","5,917",60.2,"7,235","4,460",61.6,"2,153","1,292",60,431,165,38.2
18,CALLOWAY,2012,"25,879","15,165",58.5,"16,424","9,935",60.4,"7,295","4,321",59.2,"2,160",909,42
19,CAMPBELL,2012,"63,615","40,353",63.4,"27,828","17,072",61.3,"28,351","19,430",68.5,"7,436","3,851",51.7
20,CARLISLE,2012,"3,952","2,646",66.9,"3,118","2,108",67.6,733,502,68.4,101,36,35.6
21,CARROLL,2012,"7,471","3,723",49.8,"5,992","3,081",51.4,"1,104",543,49.1,375,99,26.4
22,CARTER,2012,"18,874","9,299",49.2,"11,327","5,318",46.9,"6,496","3,641",56,"1,051",340,32.3
23,CASEY,2012,"10,715","6,160",57.4,"2,070","1,027",49.6,"8,375","5,037",60.1,270,96,35.5
